,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
id,1.0,0.5882901481702674,-0.0031252945034664936,0.09090849077881855,0.010618661200447283,-0.013224453922615833,-0.31976035736867464,0.29182789618079186,0.1332715452397483,0.08546757671720838
host_id,0.5882901481702674,1.0,0.020224186661870442,0.12705514995731454,0.015309076152976376,-0.017364260986765894,-0.1401059733427809,0.2964165844506427,0.1549502001547344,0.20349243781674636
latitude,-0.0031252945034664936,0.020224186661870442,1.0,0.08478836838942543,0.033938668232569,0.024869274138726128,-0.015388804497945684,-0.010141594506728191,0.019517351185378132,-0.010983458290208541
longitude,0.09090849077881855,0.12705514995731454,0.08478836838942543,1.0,-0.1500192699688204,-0.06274711429076898,0.05909428794877501,0.14594802726689107,-0.11471279117178322,0.08273074786310534
price,0.010618661200447283,0.015309076152976376,0.033938668232569,-0.1500192699688204,1.0,0.04279933414330361,-0.04795422658266245,-0.030608348567533965,0.057471688368068104,0.08182882742168858
minimum_nights,-0.013224453922615833,-0.017364260986765894,0.024869274138726128,-0.06274711429076898,0.04279933414330361,1.0,-0.08011606824164533,-0.12170220090077044,0.1279596294349121,0.14430306319924938
number_of_reviews,-0.31976035736867464,-0.1401059733427809,-0.015388804497945684,0.05909428794877501,-0.04795422658266245,-0.08011606824164533,1.0,0.549867506377398,-0.0723760605417757,0.17202758146293173
reviews_per_month,0.29182789618079186,0.2964165844506427,-0.010141594506728191,0.14594802726689107,-0.030608348567533965,-0.12170220090077044,0.549867506377398,1.0,-0.009421161892898608,0.18579096063066883
calculated_host_listings_count,0.1332715452397483,0.1549502001547344,0.019517351185378132,-0.11471279117178322,0.057471688368068104,0.1279596294349121,-0.0723760605417757,-0.009421161892898608,1.0,0.22570137219113445
availability_365,0.08546757671720838,0.20349243781674636,-0.010983458290208541,0.08273074786310534,0.08182882742168858,0.14430306319924938,0.17202758146293173,0.18579096063066883,0.22570137219113445,1.0
